Date,Temp Forecast (C) ,Day of Week,Holiday,Peak,Shoulder,Off Peak
19/11/2019,25.35,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/11/2019,24.74,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/11/2019,24.78,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/11/2019,24.67,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/11/2019,24.82,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
24/11/2019,24.73,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
25/11/2019,25.09,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/11/2019,25.3,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/11/2019,25.44,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/11/2019,25.82,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/11/2019,25.32,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/11/2019,25.91,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
1/12/2019,25.73,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
2/12/2019,25.02,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/12/2019,24.86,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/12/2019,24.49,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/12/2019,24.54,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/12/2019,24.39,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/12/2019,24.38,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
8/12/2019,24.43,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
9/12/2019,24.02,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/12/2019,24.2,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/12/2019,23.56,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/12/2019,24,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/12/2019,23.84,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/12/2019,24.05,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
15/12/2019,23.92,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
16/12/2019,24.18,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/12/2019,24.7,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/12/2019,25.03,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/12/2019,24.97,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/12/2019,25.33,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/12/2019,25.28,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
22/12/2019,24.75,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
23/12/2019,25.14,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/12/2019,25.13,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/12/2019,24.85,Wednesday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/12/2019,24.31,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/12/2019,24.35,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/12/2019,24.54,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
29/12/2019,24.78,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
30/12/2019,24.7,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/12/2019,24.57,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
