DATE,PERIOD,USEP,Model_1,Model_2,Forecast_Baseline,Random_Jitter,Updated_Model
2/11/2019,26,77.9,76.39073669,81,78.69536834,1.04,81.016
2/11/2019,27,78.19,76.30230791,81,78.65115396,1.08,84.4452
2/11/2019,28,76.31,76.26658278,81,78.63329139,0.93,70.9683
2/11/2019,29,76.31,76.22327119,81,78.6116356,1.03,78.5993
2/11/2019,30,72.03,76.15723536,81,78.57861768,1,72.03
2/11/2019,31,71.82,76.087224,81,78.543612,0.92,66.0744
2/11/2019,32,77.92,76.03495939,81,78.5174797,1.04,81.0368
2/11/2019,33,78.18,75.94459769,81,78.47229885,0.93,72.7074
2/11/2019,34,78.18,75.82121037,81,78.41060519,0.97,75.8346
2/11/2019,35,77.82,75.72084887,211.44,143.5804244,0.9,70.038
2/11/2019,36,77.57,75.66608193,211.27,143.468041,1.01,78.3457
2/11/2019,37,77.47,75.73468675,211.44,143.5873434,0.95,73.5965
2/11/2019,38,80.81,75.9595247,83.07,79.51476235,1,80.81
2/11/2019,39,81,76.13339547,81,78.56669773,0.91,73.71
2/11/2019,40,81.02,76.19211115,81,78.59605558,1.1,89.122
2/11/2019,41,82.02,76.203411,81,78.6017055,0.93,76.2786
2/11/2019,42,83.04,76.18448249,81,78.59224124,1,83.04
2/11/2019,43,83.72,76.11110902,86.62,81.36555451,0.99,82.8828
2/11/2019,44,81,75.89038156,85.01,80.45019078,0.99,80.19
2/11/2019,45,75.72,75.58167326,211.27,143.4258366,1,75.72
2/11/2019,46,75.31,75.3102334,151.61,113.4601167,0.98,73.8038
2/11/2019,47,71.26,75.00130766,99.01,87.00565383,1.1,78.386
2/11/2019,48,70.75,74.6794088,82.16,78.4197044,1.08,76.41
3/11/2019,1,69.66,65.49950986,76.6,71.04975493,0.93,64.7838
3/11/2019,2,69.23,65.13599824,82.97,74.05299912,0.95,65.7685
3/11/2019,3,69.13,64.7832349,82.97,73.87661745,1.04,71.8952
3/11/2019,4,68.11,64.49749254,76.3,70.39874627,0.98,66.7478
3/11/2019,5,66.91,64.27796304,76.27,70.27398152,0.98,65.5718
3/11/2019,6,66.7,64.09235663,54.97,59.53117832,1.08,72.036
3/11/2019,7,66.61,63.92540058,54.97,59.44770029,0.99,65.9439
3/11/2019,8,61.65,63.81623839,51.14,57.4781192,1.06,65.349
3/11/2019,9,64.37,63.72723496,51.14,57.43361748,1.04,66.9448
3/11/2019,10,64.37,63.73284422,51.14,57.43642211,0.92,59.2204
3/11/2019,11,66.6,63.84114416,51.14,57.49057208,0.91,60.606
3/11/2019,12,66.6,64.00432127,54.97,59.48716063,0.93,61.938
3/11/2019,13,66.6,64.11345459,54.97,59.54172729,1.06,70.596
3/11/2019,14,66.61,64.21619867,51.14,57.67809934,0.99,65.9439
3/11/2019,15,66.82,64.37046629,76.96,70.66523314,1.02,68.1564
3/11/2019,16,68.06,64.6340671,83.81,74.22203355,0.96,65.3376
3/11/2019,17,69.9,65.02694246,84.21,74.61847123,1.08,75.492
3/11/2019,18,70.32,65.42229342,85.52,75.47114671,1.04,73.1328
3/11/2019,19,69.49,65.78881967,79.21,72.49940984,0.92,63.9308
3/11/2019,20,69.56,66.10512086,80.04,73.07256043,0.94,65.3864
3/11/2019,21,69.55,66.35493952,82.54,74.44746976,0.93,64.6815
3/11/2019,22,69.5,75.42856097,109.19,92.30928048,0.96,66.72
3/11/2019,23,69.52,75.41377744,104.1,89.75688872,1.04,72.3008
3/11/2019,24,69.15,75.30845695,104.09,89.69922848,1.05,72.6075
3/11/2019,25,69.14,75.23547276,99.01,87.12273638,0.98,67.7572
3/11/2019,26,69.16,75.25040563,103.08,89.16520281,0.9,62.244
3/11/2019,27,69.32,75.32002684,77.51,76.41501342,1.1,76.252
3/11/2019,28,69.32,75.37743446,77.51,76.44371723,1.03,71.3996
3/11/2019,29,69.32,75.39391305,77.51,76.45195652,0.95,65.854
3/11/2019,30,69.85,75.39495248,77.51,76.45247624,0.91,63.5635
3/11/2019,31,70.04,75.39724142,104.08,89.73862071,1.03,72.1412
3/11/2019,32,69.64,75.38913946,77.51,76.44956973,1.1,76.604
3/11/2019,33,69.64,75.38126855,77.51,76.44563427,0.92,64.0688
3/11/2019,34,70.04,75.37337365,77.51,76.44168682,0.97,67.9388
3/11/2019,35,70.07,66.40497534,77.51,71.95748767,0.91,63.7637
3/11/2019,36,69.64,66.40328042,77.51,71.95664021,0.98,68.2472
3/11/2019,37,69.88,66.57307047,211.43,139.0015352,1,69.88
3/11/2019,38,70.8,75.90178356,84.72,80.31089178,1.04,73.632
3/11/2019,39,71.81,76.19435669,246.48,161.3371783,1.06,76.1186
3/11/2019,40,76.91,76.31066238,75.01,75.66033119,0.97,74.6027
3/11/2019,41,78.9,76.36854025,76.44,76.40427012,1.08,85.212
3/11/2019,42,78.91,76.50293314,246.48,161.4914666,1.04,82.0664
3/11/2019,43,78.92,76.50138741,246.48,161.4906937,1.03,81.2876
3/11/2019,44,75.58,76.26462262,84.72,80.49231131,1.04,78.6032
3/11/2019,45,70.94,75.87318127,84.72,80.29659064,1.04,73.7776
3/11/2019,46,74.99,75.52309814,211.43,143.4765491,0.98,73.4902
3/11/2019,47,70.96,75.09740575,99.01,87.05370287,0.92,65.2832
3/11/2019,48,69.86,65.69491041,82.16,73.9274552,1.03,71.9558
4/11/2019,1,68.9,65.32028762,91.62,78.47014381,1.06,73.034
4/11/2019,2,68.78,64.9927511,82.61,73.80137555,1.06,72.9068
4/11/2019,3,66.69,64.68459911,92.06,78.37229955,1.06,70.6914
4/11/2019,4,64.65,64.44287065,92.06,78.25143532,0.94,60.771
4/11/2019,5,64.22,64.2645946,80.95,72.6072973,0.96,61.6512
4/11/2019,6,59.12,64.11937117,80.97,72.54468558,1.03,60.8936
4/11/2019,7,57.63,64.01536136,80.85,72.43268068,0.96,55.3248
4/11/2019,8,57.62,63.95095846,78.16,71.05547923,0.9,51.858
4/11/2019,9,57.62,63.93198389,78.03,70.98099194,1.04,59.9248
4/11/2019,10,57.8,64.01281114,78.17,71.09140557,0.92,53.176
4/11/2019,11,64.54,64.25342581,80.95,72.6017129,1.1,70.994
4/11/2019,12,67.64,64.70484457,92.06,78.38242228,0.9,60.876
4/11/2019,13,68.87,65.2727975,83.12,74.19639875,1.05,72.3135
4/11/2019,14,74.97,65.82361209,89.43,77.62680605,1.05,78.7185
4/11/2019,15,77.61,75.43131205,93.34,84.38565602,1.09,84.5949
4/11/2019,16,78.92,76.26015294,84.72,80.49007647,1.06,83.6552
4/11/2019,17,82.07,77.12746611,84.72,80.92373305,1.07,87.8149
4/11/2019,18,245.37,86.70489594,84.72,85.71244797,1.1,269.907
4/11/2019,19,85.77,87.04316412,110.57,98.80658206,1.03,88.3431
4/11/2019,20,252.75,87.27170277,110.59,98.93085138,1.09,275.4975
4/11/2019,21,111.11,87.44799288,110.59,99.01899644,0.97,107.7767
4/11/2019,22,81.09,87.50656988,110.59,99.04828494,1.04,84.3336
4/11/2019,23,82.11,87.47945132,110.59,99.03472566,1.02,83.7522
4/11/2019,24,80.76,87.31128448,110.59,98.95064224,1.03,83.1828
4/11/2019,25,79.06,87.16793619,110.59,98.8789681,1,79.06
4/11/2019,26,79.85,87.16499422,110.59,98.87749711,0.99,79.0515
4/11/2019,27,82.11,87.33172753,110.59,98.96086377,0.98,80.4678
4/11/2019,28,82.17,87.40840603,110.59,98.99920301,0.99,81.3483
4/11/2019,29,82.69,87.40522399,110.59,98.99761199,1.01,83.5169
4/11/2019,30,85.15,87.37429132,110.59,98.98214566,1.08,91.962
4/11/2019,31,85.15,87.38855839,110.59,98.98927919,1.01,86.0015
4/11/2019,32,83.13,87.38306989,110.59,98.98653494,1.05,87.2865
4/11/2019,33,82.94,87.35605514,110.59,98.97302757,0.99,82.1106
4/11/2019,34,81.05,87.25604029,211.44,149.3480201,1.02,82.671
4/11/2019,35,78.55,87.0233765,92.39,89.70668825,0.92,72.266
4/11/2019,36,77.89,86.65593036,110.57,98.61296518,0.93,72.4377
4/11/2019,37,80.72,86.46551774,87.15,86.80775887,1.06,85.5632
4/11/2019,38,85.44,86.5421138,81,83.7710569,0.99,84.5856
4/11/2019,39,87.11,86.6079617,81,83.80398085,0.97,84.4967
4/11/2019,40,92.34,86.57493981,82.14,84.3574699,0.9,83.106
4/11/2019,41,252.77,86.47782512,91.45,88.96391256,1.05,265.4085
4/11/2019,42,92.31,77.41284774,80.03,78.72142387,1.02,94.1562
4/11/2019,43,90.93,77.23763581,78.97,78.1038179,1.01,91.8393
4/11/2019,44,87.6,76.86466542,84.72,80.79233271,0.92,80.592
4/11/2019,45,85.09,76.4012908,84.72,80.5606454,0.92,78.2828
4/11/2019,46,81.03,75.96891928,101.02,88.49445964,0.91,73.7373
4/11/2019,47,75.18,75.49555311,211.43,143.4627766,1.07,80.4426
4/11/2019,48,72.47,75.00648317,99.01,87.00824158,0.97,70.2959
5/11/2019,1,74.22,65.85269426,82.16,74.00634713,1.08,80.1576
5/11/2019,2,74.2,65.50890121,82.61,74.05945061,1.07,79.394
5/11/2019,3,72.46,65.25978439,92.06,78.65989219,0.95,68.837
5/11/2019,4,69.56,65.02626592,83.89,74.45813296,1.1,76.516
5/11/2019,5,68.71,64.85135846,81.8,73.32567923,0.95,65.2745
5/11/2019,6,67.78,64.70997745,86.92,75.81498872,0.91,61.6798
5/11/2019,7,67.67,64.59674644,86.92,75.75837322,1.1,74.437
5/11/2019,8,67.57,64.52822334,85.62,75.07411167,0.97,65.5429
5/11/2019,9,67.57,64.51353498,85.44,74.97676749,1.02,68.9214
5/11/2019,10,67.66,64.59110349,85.05,74.82055174,1.06,71.7196
5/11/2019,11,68.7,64.83196224,81.8,73.31598112,1,68.7
5/11/2019,12,70.58,65.29151153,92.06,78.67575576,1,70.58
